searcher,total_volume_usd,estimated_revenue_usd,builder_tips_usd,estimated_pnl_usd,median_trade_revenue_usd,median_trade_pnl_usd,median_profit_margin
Wintermute,74800000000,71400000,47100000,24300000,11.36,1.65,0.209
SCP,63500000000,71100000,57400000,13700000,7.34,0.86,0.185
Kayle,41000000000,28300000,16000000,12300000,6.05,1.15,0.279
Galio,25900000000,9900000,4500000,5400000,24.93,7.10,0.317
Shen,12300000000,18100000,6300000,11800000,8.42,3.77,0.532
Taric,5000000000,4400000,1800000,2600000,22.92,9.28,0.433
Lucian,3900000000,10900000,3900000,7000000,14.74,5.83,0.458
Riven,3100000000,3100000,1300000,1900000,31.42,8.16,0.425
Thresh,2700000000,3200000,1000000,2200000,34.12,13.65,0.597
Ahri,1700000000,541400,399000,162400,24.08,4.30,0.228
Darius,1100000000,497000,331300,165600,29.62,6.62,0.279
Karma,674800000,3000000,517500,2500000,22.82,15.02,0.712
Senna,596300000,503900,268100,235800,5.22,1.06,0.272
Maokai,588400000,4400000,1100000,3300000,52.40,35.13,0.697
Zed,580200000,3100000,1100000,2100000,13.99,4.83,0.418
Graves,229300000,173400,353100,-179700,8.77,-19.34,-2.721
Caitlyn,96100000,253700,67600,186100,69.02,39.62,0.688
Akali,49400000,378600,100500,278100,22.20,12.37,0.594
Poppy,35500000,371700,171000,200700,25.00,13.43,0.556
