searcher,pattern,major_major_count,major_major_count_pct,major_major_volume_usd,major_major_volume_pct,major_alt_count,major_alt_count_pct,major_alt_volume_usd,major_alt_volume_pct,alt_alt_count,alt_alt_count_pct,alt_alt_volume_usd,alt_alt_volume_pct
Wintermute,1,977048,54.2,67700000000,89.3,794181,44.0,7900000000,10.4,32741,1.8,242500000,0.3
SCP,1,908414,43.2,57100000000,88.1,1190421,56.7,7700000000,11.9,2246,0.1,11700000,0.0
Kayle,1,680494,46.3,33700000000,81.2,781030,53.1,7700000000,18.7,8184,0.6,52900000,0.1
Galio,1,161238,66.2,22600000000,87.0,81391,33.4,3400000000,12.9,940,0.4,17400000,0.1
Shen,1,190502,27.2,9000000000,72.1,502718,71.9,3500000000,27.8,6276,0.9,9800000,0.1
Taric,2,70496,39.8,3600000000,71.2,100805,56.9,1400000000,28.3,5767,3.3,27200000,0.5
Lucian,2,14458,2.7,1300000000,32.6,512152,97.0,2600000000,67.2,1268,0.2,4600000,0.1
Riven,1,17429,78.6,3000000000,96.1,4489,20.2,121300000,3.9,261,1.2,2400000,0.1
Thresh,1,25808,97.7,2600000000,98.8,619,2.3,30900000,1.2,0,0.0,0,0.0
Ahri,1,11846,100.0,1700000000,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Darius,1,8756,73.6,1000000000,91.2,3135,26.4,97000000,8.8,0,0.0,0,0.0
Karma,2,4226,7.5,274700000,40.6,48633,86.1,388300000,57.4,3618,6.4,13300000,2.0
Bard,3,263,0.1,24700000,3.8,170074,96.4,618800000,94.6,6141,3.5,10500000,1.6
Senna,1,19786,36.9,368900000,60.5,32625,60.8,236900000,38.9,1208,2.3,3700000,0.6
Maokai,2,579,2.1,186000000,31.4,26066,94.7,399200000,67.3,893,3.2,7900000,1.3
Zed,2,13,0.0,319700,0.1,95724,100.0,584900000,99.9,0,0.0,0,0.0
Jinx,3,479,1.2,8900000,2.8,39073,98.7,306000000,97.1,16,0.0,159100,0.1
Tristana,3,4680,27.9,212900000,73.1,11609,69.1,77700000,26.7,506,3.0,756200,0.3
Graves,1,8532,93.3,251500000,99.6,612,6.7,978100,0.4,0,0.0,0,0.0
Lux,3,15,0.1,298900,0.3,11300,99.9,118500000,99.7,0,0.0,0,0.0
Caitlyn,1,729,54.2,86500000,88.3,616,45.8,11500000,11.7,0,0.0,0,0.0
Akali,2,0,0.0,0,0.0,9771,100.0,49400000,100.0,0,0.0,0,0.0
Poppy,2,0,0.0,0,0.0,8115,100.0,35600000,100.0,0,0.0,0,0.0
