searcher,total_trades,inventory_adjustment_trades,arbitrage_trades,profitable_trades,unprofitable_trades
Wintermute,1916577,153671,1762906,1297128,465778
SCP,2188986,142086,2046900,1579632,467268
Kayle,1525397,90970,1434427,1131090,303337
Galio,257377,15858,241519,196208,45311
Shen,707491,12658,694833,649458,45375
Taric,179277,4053,175224,156569,18655
Lucian,528422,4502,523920,498731,25189
Riven,23699,2536,21163,14586,6577
Thresh,31622,5904,25718,20061,5657
Ahri,12161,879,11282,7611,3671
Darius,12415,700,11715,9312,2403
Karma,58085,1730,56355,55883,472
Senna,55910,5523,50387,44399,5988
Maokai,27976,649,27327,26345,982
Zed,96954,2649,94305,86205,8100
Graves,12173,5750,6423,925,5498
Caitlyn,1559,247,1312,1184,128
Akali,9803,55,9748,9595,153
Poppy,8131,35,8096,7865,231
