snapshot_time_utc,builder,blocks,blocks_profit,blocks_subsidy,profit_total_source_units,subsidies_total_source_units,source_url
2026-09-25T09:49:47Z,Titan (titanbuilder.xyz),3454,3453,0,99.2504,0.0000,https://www.relayscan.io/builder-profit
2026-09-25T09:49:47Z,BuilderNet,1438,1438,0,27.0746,0.0000,https://www.relayscan.io/builder-profit
2026-09-25T09:49:47Z,Quasar (quasar.win),1238,1236,1,6.5102,0.0001,https://www.relayscan.io/builder-profit
2026-09-25T09:49:47Z,Eureka (eurekabuilder.xyz),206,206,0,3.1065,0.0000,https://www.relayscan.io/builder-profit
2026-09-25T09:49:47Z,builder.ultrasound.money,11,11,0,2.0349,0.0000,https://www.relayscan.io/builder-profit
2026-09-25T09:49:47Z,bombora.build,79,79,0,1.6372,0.0000,https://www.relayscan.io/builder-profit
2026-09-25T09:49:47Z,bobTheBuilder.xyz,32,31,0,1.3661,0.0000,https://www.relayscan.io/builder-profit
2026-09-25T09:49:47Z,Builder+ www.btcs.com/builder,72,14,58,0.1479,0.1708,https://www.relayscan.io/builder-profit
2026-09-25T09:49:47Z,beaverbuild.org,7,7,0,0.0084,0.0000,https://www.relayscan.io/builder-profit
2026-09-25T09:49:47Z,ethgas-realtime-rpc,25,25,0,0.0029,0.0000,https://www.relayscan.io/builder-profit
